No,Strain,Supergroup,Lowest taxon identified,Identification base,Depth beneath earth surface in m,Sediment age
1,SCL-16-1,Amoebozoa,"Cochliopodium Hertwig & Lesser, 1874","Light microscopy, electron microscopy, molecular phylogeny",3.5,Late Pleistocene
2,SCL-flam9,Amoebozoa,"Flamella Schaeffer, 1926",Light microscopy,3.5,Late Pleistocene
3,SCL-16-3,Amoebozoa,"Vannella Bovee, 1965",Light microscopy,3.5,Late Pleistocene
4,SCL-16-4,Amoebozoa,Variosea indet.,Light microscopy,3.5,Late Pleistocene
5,SCL-16-5,Amoebozoa,Variosea indet.,Light microscopy,3.5,Late Pleistocene
6,SCL-16-2,Discoba,Heterolobosea indet.,Light microscopy,3.5,Late Pleistocene
7,SCL-16-8,Discoba,Heterolobosea indet.,Light microscopy,3.5,Late Pleistocene
8,SCL-16-9,Discoba,Heterolobosea indet.,Light microscopy,3.5,Late Pleistocene
9,SCL-15-7,Opisthokonta,"Adineta Hudson & Gosse, 1886","Light microscopy, molecular phylogeny",3.5,Late Pleistocene
10,SCL-16-6,Rhizaria,"Lecythium Hertwig & Lesser, 1874",Light microscopy,3.5,Late Pleistocene
11,SCL-15-5,Amoebozoa,Amoebozoa indet.,Light microscopy,14.2,Middle Pleistocene
